Country,Region,Year,AvgCelsiusTemp,CO2,F-Gas,N2O
Central African Republic,Africa,2009,26.22,0.26,0.02,24.15
Central African Republic,Africa,2010,26.61,0.27,0.02,25.42
Central African Republic,Africa,2011,26.24,0.29,0.03,27.17
Central African Republic,Africa,2012,26.17,0.3,0.03,26.84
Central African Republic,Africa,2013,25.98,0.3,0.03,28.66
Central African Republic,Africa,2014,25.98,0.3,0.03,29.59
Central African Republic,Africa,2015,26.16,0.31,0.03,30.91
Central African Republic,Africa,2016,26.27,0.31,0.03,32.14
Central African Republic,Africa,2017,26.31,0.31,0.03,31.62
Central African Republic,Africa,2018,25.82,0.33,0.04,32.11
Central African Republic,Africa,2019,26.38,,,
China,Asia,1995,15.429999999999998,3084.87,12.57,370.95
China,Asia,1996,15.048000000000002,3064.88,17.59,396.54
China,Asia,1997,15.894,3128.65,22.61,368.67
China,Asia,1998,16.552,3232.12,27.62,377.47
China,Asia,1999,15.972,3149.2,32.64,393.76
China,Asia,2000,15.648000000000001,3344.09,37.66,386.08
China,Asia,2001,15.725999999999999,3526.75,52.05,388.46
China,Asia,2002,15.946000000000002,3808.33,66.44,406.21
China,Asia,2003,15.918000000000001,4413.3,80.82,407.63
China,Asia,2004,16.074,5121.83,95.21,420.33
China,Asia,2005,15.678,5819.12,109.6,428.09
China,Asia,2006,16.21,6431.91,124.21,439.85
China,Asia,2007,16.504,6988.21,138.82,448.44
China,Asia,2008,15.732,7195.01,153.43,464.1
China,Asia,2009,15.864,7715.11,168.04,475.6
China,Asia,2010,15.367999999999999,8470.57,182.65,486.77
China,Asia,2011,15.518,9278.25,197.1,493.0
China,Asia,2012,15.324000000000002,9533.21,211.54,503.97
China,Asia,2013,15.98,9936.68,223.84,515.99
China,Asia,2014,16.344,9894.94,236.14,528.02
China,Asia,2015,16.494,9830.43,248.43,542.9
China,Asia,2016,16.434,9814.31,253.74,546.99
China,Asia,2017,16.676000000000002,10017.77,259.05,542.1
China,Asia,2018,16.51,10313.46,264.36,538.79
China,Asia,2019,16.663999999999998,,,
Colombia,South/Central America & Carribean,1995,12.99,59.06,0.27,18.52
Colombia,South/Central America & Carribean,1996,12.82,58.85,0.39,18.26
Colombia,South/Central America & Carribean,1997,13.46,63.59,0.51,18.27
Colombia,South/Central America & Carribean,1998,14.09,64.09,0.63,18.61
Colombia,South/Central America & Carribean,1999,13.36,55.87,0.75,17.96
Colombia,South/Central America & Carribean,2000,12.97,58.22,1.02,18.45
Colombia,South/Central America & Carribean,2001,13.24,58.56,1.21,18.95
Colombia,South/Central America & Carribean,2002,13.79,56.43,1.4,19.25
Colombia,South/Central America & Carribean,2003,13.47,56.02,1.59,19.94
Colombia,South/Central America & Carribean,2004,13.11,56.22,1.78,20.18
Colombia,South/Central America & Carribean,2005,13.34,57.91,1.87,20.58
Colombia,South/Central America & Carribean,2006,13.24,57.72,2.1,21.05
Colombia,South/Central America & Carribean,2007,13.06,59.19,2.33,22.56
Colombia,South/Central America & Carribean,2008,12.9,60.0,2.56,21.74
Colombia,South/Central America & Carribean,2009,13.61,62.96,2.78,21.95
Colombia,South/Central America & Carribean,2010,13.85,64.68,3.01,22.46
Colombia,South/Central America & Carribean,2011,13.78,69.91,3.4,21.7
Colombia,South/Central America & Carribean,2012,13.53,70.29,3.79,21.23
Colombia,South/Central America & Carribean,2013,13.8,77.79,4.19,19.77
Colombia,South/Central America & Carribean,2014,13.81,79.82,4.58,20.32
Colombia,South/Central America & Carribean,2015,14.15,81.03,4.97,19.79
Colombia,South/Central America & Carribean,2016,14.35,83.76,5.38,19.89
Colombia,South/Central America & Carribean,2017,13.95,76.06,5.78,21.08
Colombia,South/Central America & Carribean,2018,13.88,79.49,6.19,21.72
Colombia,South/Central America & Carribean,2019,14.26,,,
Congo,Africa,1995,25.71,,,
Congo,Africa,1996,25.07,,,
Congo,Africa,1997,25.85,,,
Congo,Africa,1998,26.26,,,
Congo,Africa,1999,25.75,,,
Congo,Africa,2000,24.95,,,
Congo,Africa,2001,25.26,,,
Congo,Africa,2002,25.75,,,
Congo,Africa,2003,25.78,,,
Congo,Africa,2004,25.74,,,
Congo,Africa,2005,25.77,,,
Congo,Africa,2006,25.53,,,
Congo,Africa,2007,25.43,,,
Congo,Africa,2008,25.32,,,
Congo,Africa,2009,25.51,,,
Congo,Africa,2010,26.03,,,
Congo,Africa,2011,25.49,,,
Congo,Africa,2012,25.39,,,
Congo,Africa,2013,25.5,,,
Congo,Africa,2014,25.86,,,
Congo,Africa,2015,25.65,,,
Congo,Africa,2016,25.95,,,
Congo,Africa,2017,25.72,,,
Congo,Africa,2018,25.85,,,
Congo,Africa,2019,25.89,,,
Costa Rica,South/Central America & Carribean,1995,22.76,4.81,0.04,1.54
Costa Rica,South/Central America & Carribean,1996,22.81,4.53,0.05,1.78
Costa Rica,South/Central America & Carribean,1997,22.94,4.49,0.07,1.83
Costa Rica,South/Central America & Carribean,1998,23.19,5.02,0.09,1.87
Costa Rica,South/Central America & Carribean,1999,21.94,5.04,0.11,1.68
Costa Rica,South/Central America & Carribean,2000,22.35,4.95,0.13,1.59
Costa Rica,South/Central America & Carribean,2001,22.94,5.42,0.14,1.48
Costa Rica,South/Central America & Carribean,2002,23.39,5.52,0.15,1.47
Costa Rica,South/Central America & Carribean,2003,23.05,5.8,0.17,1.59
Costa Rica,South/Central America & Carribean,2004,22.96,5.94,0.18,1.49
Costa Rica,South/Central America & Carribean,2005,22.33,6.27,0.2,1.56
Costa Rica,South/Central America & Carribean,2006,22.58,6.56,0.23,1.58
Costa Rica,South/Central America & Carribean,2007,22.46,7.6,0.26,1.67
Costa Rica,South/Central America & Carribean,2008,22.03,7.52,0.29,1.76
Costa Rica,South/Central America & Carribean,2009,22.7,7.2,0.32,1.55
Costa Rica,South/Central America & Carribean,2010,22.47,7.11,0.35,1.67
Costa Rica,South/Central America & Carribean,2011,22.3,7.43,0.41,1.89
Costa Rica,South/Central America & Carribean,2012,22.43,7.45,0.46,1.83
Costa Rica,South/Central America & Carribean,2013,22.58,7.78,0.52,1.85
Costa Rica,South/Central America & Carribean,2014,22.8,7.83,0.57,1.78
Costa Rica,South/Central America & Carribean,2015,23.22,7.54,0.62,1.83
Costa Rica,South/Central America & Carribean,2016,22.96,8.08,0.68,1.96
Costa Rica,South/Central America & Carribean,2017,22.71,8.18,0.74,1.92
Costa Rica,South/Central America & Carribean,2018,22.7,8.26,0.8,1.94
Costa Rica,South/Central America & Carribean,2019,23.06,,,
Croatia,Europe,1996,11.21,15.34,3.73,2.34
Croatia,Europe,1997,11.01,17.05,3.17,2.69
Croatia,Europe,1998,11.31,18.47,2.61,2.16
Croatia,Europe,1999,12.03,18.51,2.05,2.33
Croatia,Europe,2000,13.25,18.05,1.49,2.49
Croatia,Europe,2001,12.31,19.2,1.24,2.31
Croatia,Europe,2002,12.64,20.28,1.0,2.45
Croatia,Europe,2003,12.48,21.61,0.76,2.35
Croatia,Europe,2004,11.69,21.11,0.52,2.73
Croatia,Europe,2005,11.24,21.47,0.28,2.52
Croatia,Europe,2006,12.35,21.62,0.31,2.95
Croatia,Europe,2007,13.21,22.89,0.34,3.11
Croatia,Europe,2008,12.9,21.74,0.35,3.46
Croatia,Europe,2009,12.91,20.32,0.35,2.27
Croatia,Europe,2010,11.79,19.46,0.39,2.54
Croatia,Europe,2011,12.63,19.04,0.41,2.65
Croatia,Europe,2012,13.09,17.46,0.41,2.35
Croatia,Europe,2013,12.43,17.04,0.42,1.74
Croatia,Europe,2014,13.46,16.34,0.42,1.71
Croatia,Europe,2015,13.17,16.68,0.43,1.85
Croatia,Europe,2016,12.68,16.94,0.43,1.63
Croatia,Europe,2017,13.1,17.48,0.4,1.76
Croatia,Europe,2018,13.61,16.58,0.37,1.79
Croatia,Europe,2019,13.64,,,
Cuba,South/Central America & Carribean,1995,24.35,23.08,0.05,4.05
Cuba,South/Central America & Carribean,1996,24.05,25.03,0.06,4.05
Cuba,South/Central America & Carribean,1997,25.13,27.4,0.07,4.15
Cuba,South/Central America & Carribean,1998,24.8,26.95,0.09,4.02
Cuba,South/Central America & Carribean,1999,24.29,27.83,0.1,3.79
Cuba,South/Central America & Carribean,2000,23.97,28.2,0.11,3.74
Cuba,South/Central America & Carribean,2001,24.04,27.19,0.13,3.89
Cuba,South/Central America & Carribean,2002,24.69,25.96,0.14,3.62
Cuba,South/Central America & Carribean,2003,24.6,25.23,0.15,3.4
Cuba,South/Central America & Carribean,2004,24.57,24.97,0.16,3.5
Cuba,South/Central America & Carribean,2005,24.43,25.86,0.18,3.29
Cuba,South/Central America & Carribean,2006,24.43,26.3,0.2,3.46
Cuba,South/Central America & Carribean,2007,24.49,27.2,0.22,3.52
Cuba,South/Central America & Carribean,2008,24.21,26.31,0.24,3.58
Cuba,South/Central America & Carribean,2009,24.2,27.1,0.26,3.47
Cuba,South/Central America & Carribean,2010,23.57,30.26,0.29,3.52
Cuba,South/Central America & Carribean,2011,24.08,28.54,0.32,3.72
Cuba,South/Central America & Carribean,2012,23.92,28.85,0.35,3.65
Cuba,South/Central America & Carribean,2013,24.4,27.35,0.39,3.76
Cuba,South/Central America & Carribean,2014,24.1,26.88,0.42,3.95
Cuba,South/Central America & Carribean,2015,24.88,27.49,0.45,3.84
Cuba,South/Central America & Carribean,2016,24.42,28.45,0.5,3.74
Cuba,South/Central America & Carribean,2017,24.35,25.65,0.54,3.7
Cuba,South/Central America & Carribean,2018,24.39,24.97,0.58,3.62
Cuba,South/Central America & Carribean,2019,24.86,,,
Cyprus,Europe,1995,18.33,5.8,0.0,0.37
Cyprus,Europe,1996,20.94,6.16,0.0,0.39
Cyprus,Europe,1997,17.46,6.25,0.01,0.37
Cyprus,Europe,1998,21.84,6.55,0.01,0.38
Cyprus,Europe,1999,18.78,6.81,0.02,0.38
Cyprus,Europe,2000,22.67,7.07,0.03,0.37
Cyprus,Europe,2001,19.98,6.93,0.04,0.39
Cyprus,Europe,2002,19.67,7.11,0.05,0.41
Cyprus,Europe,2003,14.51,7.77,0.06,0.41
Cyprus,Europe,2004,22.75,7.71,0.08,0.4
Cyprus,Europe,2005,19.13,7.87,0.09,0.37
Cyprus,Europe,2006,19.07,7.94,0.13,0.38
Cyprus,Europe,2007,19.55,8.24,0.15,0.38
Cyprus,Europe,2008,20.03,8.4,0.18,0.37
Cyprus,Europe,2009,20.57,8.18,0.2,0.39
Cyprus,Europe,2010,32.28,7.82,0.23,0.4
Czech Republic,Europe,1995,8.2,125.18,0.13,5.68
Czech Republic,Europe,1996,6.39,126.74,0.18,5.87
Czech Republic,Europe,1997,7.91,124.79,0.26,5.62
Czech Republic,Europe,1998,8.77,118.92,0.31,5.56
Czech Republic,Europe,1999,8.85,111.95,0.34,5.31
Czech Republic,Europe,2000,9.49,123.17,0.42,5.51
Czech Republic,Europe,2001,8.32,122.72,0.53,5.86
Czech Republic,Europe,2002,9.02,118.53,0.63,4.89
Czech Republic,Europe,2003,8.95,122.77,0.73,4.98
Czech Republic,Europe,2004,8.54,123.44,0.8,5.2
Czech Republic,Europe,2005,8.53,120.0,0.89,5.13
Czech Republic,Europe,2006,9.08,120.6,1.16,5.0
Czech Republic,Europe,2007,9.89,123.63,1.53,5.03
Czech Republic,Europe,2008,9.37,118.31,1.79,4.94
Czech Republic,Europe,2009,9.14,111.17,1.87,4.7
Czech Republic,Europe,2010,7.77,113.93,2.13,4.56
Czech Republic,Europe,2011,9.26,110.98,2.33,4.72
Czech Republic,Europe,2012,9.07,107.17,2.47,5.14
Czech Republic,Europe,2013,8.33,102.72,2.59,4.99
Czech Republic,Europe,2014,9.96,99.75,2.78,5.11
Czech Republic,Europe,2015,10.2,100.98,3.0,5.57
Czech Republic,Europe,2016,9.48,102.86,3.2,5.6
Czech Republic,Europe,2017,9.31,103.42,2.98,5.28
Czech Republic,Europe,2018,10.56,102.48,2.77,5.17
Czech Republic,Europe,2019,10.22,,,
Denmark,Europe,1995,7.91,59.92,0.28,6.54
Denmark,Europe,1996,6.36,73.3,0.39,6.48
Denmark,Europe,1997,8.38,63.72,0.4,6.49
Denmark,Europe,1998,8.15,59.74,0.5,6.32
Denmark,Europe,1999,8.71,56.96,0.62,6.37
Denmark,Europe,2000,9.06,52.71,0.74,6.37
Denmark,Europe,2001,8.15,53.85,0.78,6.19
Denmark,Europe,2002,8.87,53.98,0.82,6.01
Denmark,Europe,2003,8.4,59.34,0.86,6.13
Denmark,Europe,2004,8.37,53.89,0.93,5.42
Denmark,Europe,2005,8.4,50.27,0.99,5.31
Denmark,Europe,2006,9.01,58.21,1.01,5.23
Denmark,Europe,2007,9.22,53.4,1.04,5.2
Denmark,Europe,2008,9.12,50.12,1.05,5.22
Denmark,Europe,2009,8.62,47.89,1.0,4.92
Denmark,Europe,2010,6.88,48.18,1.0,4.84
Denmark,Europe,2011,8.75,43.09,0.94,4.81
Denmark,Europe,2012,8.22,38.21,0.87,4.85
Denmark,Europe,2013,8.28,39.98,0.85,4.76
Denmark,Europe,2014,9.93,35.76,0.78,4.94
Denmark,Europe,2015,9.1,33.6,0.72,5.1
Denmark,Europe,2016,8.94,35.38,0.71,5.08
Denmark,Europe,2017,8.86,33.33,0.66,5.08
Denmark,Europe,2018,9.7,33.38,0.61,4.74
Denmark,Europe,2019,9.61,,,
Dominican Republic,South/Central America & Carribean,1995,25.44,11.85,0.05,2.11
Dominican Republic,South/Central America & Carribean,1996,25.83,12.73,0.08,2.21
Dominican Republic,South/Central America & Carribean,1997,26.34,14.5,0.11,2.27
Dominican Republic,South/Central America & Carribean,1998,26.4,16.61,0.14,2.25
Dominican Republic,South/Central America & Carribean,1999,26.0,17.79,0.17,2.12
Dominican Republic,South/Central America & Carribean,2000,26.02,18.66,0.2,2.13
Dominican Republic,South/Central America & Carribean,2001,26.27,18.97,0.23,2.26
Dominican Republic,South/Central America & Carribean,2002,26.47,20.87,0.25,2.53
Dominican Republic,South/Central America & Carribean,2003,26.54,18.72,0.28,2.42
Dominican Republic,South/Central America & Carribean,2004,26.14,17.25,0.3,2.62
Dominican Republic,South/Central America & Carribean,2005,26.54,18.66,0.33,2.61
Dominican Republic,South/Central America & Carribean,2006,26.71,20.32,0.38,2.77
Dominican Republic,South/Central America & Carribean,2007,26.74,20.58,0.43,2.96
Dominican Republic,South/Central America & Carribean,2008,26.19,20.54,0.48,2.92
Dominican Republic,South/Central America & Carribean,2009,26.34,19.63,0.53,2.99
Dominican Republic,South/Central America & Carribean,2010,26.74,20.64,0.58,3.11
Dominican Republic,South/Central America & Carribean,2011,26.37,20.87,0.67,3.07
Dominican Republic,South/Central America & Carribean,2012,26.4,21.64,0.77,2.97
Dominican Republic,South/Central America & Carribean,2013,27.01,21.25,0.86,2.99
Dominican Republic,South/Central America & Carribean,2014,27.13,21.32,0.95,3.02
Dominican Republic,South/Central America & Carribean,2015,27.3,23.45,1.05,3.14
Dominican Republic,South/Central America & Carribean,2016,26.74,24.46,1.15,3.21
Dominican Republic,South/Central America & Carribean,2017,26.73,23.39,1.24,3.28
Dominican Republic,South/Central America & Carribean,2018,26.48,25.12,1.34,3.39
Dominican Republic,South/Central America & Carribean,2019,27.25,,,
Egypt,Africa,1995,21.54,91.87,1.82,17.17
Egypt,Africa,1996,21.85,96.77,1.79,17.51
Egypt,Africa,1997,21.54,103.96,1.75,17.12
Egypt,Africa,1998,22.58,109.27,1.72,17.61
Egypt,Africa,1999,22.38,114.67,1.68,17.68
Egypt,Africa,2000,21.8,112.86,1.64,18.42
Egypt,Africa,2001,22.63,125.01,1.71,18.71
Egypt,Africa,2002,22.51,127.74,1.78,19.41
Egypt,Africa,2003,22.42,131.24,1.85,19.82
Egypt,Africa,2004,22.37,142.69,1.91,20.98
Egypt,Africa,2005,22.24,160.59,1.98,20.8
Egypt,Africa,2006,22.28,169.13,2.14,21.27
Egypt,Africa,2007,22.67,182.23,2.3,21.55
Egypt,Africa,2008,23.0,189.12,2.46,22.58
Egypt,Africa,2009,23.4,195.49,2.62,23.25
Egypt,Africa,2010,24.17,196.5,2.77,23.64
Egypt,Africa,2011,22.14,201.61,2.86,23.65
Egypt,Africa,2012,22.6,212.41,2.94,22.63
Egypt,Africa,2013,22.55,210.43,3.03,22.11
Egypt,Africa,2014,22.87,216.65,3.11,21.64
Egypt,Africa,2015,22.62,225.95,3.19,21.63
Egypt,Africa,2016,23.82,233.96,3.38,22.13
Egypt,Africa,2017,23.35,238.69,3.58,22.05
Egypt,Africa,2018,24.29,246.26,3.77,22.32
Egypt,Africa,2019,23.24,,,
Equador,South/Central America & Carribean,1995,19.78,,,
Equador,South/Central America & Carribean,1996,19.23,,,
Equador,South/Central America & Carribean,1997,20.59,,,
Equador,South/Central America & Carribean,1998,20.36,,,
Equador,South/Central America & Carribean,1999,18.765,,,
Equador,South/Central America & Carribean,2000,18.51,,,
Equador,South/Central America & Carribean,2001,18.84,,,
Equador,South/Central America & Carribean,2002,19.475,,,
Equador,South/Central America & Carribean,2003,19.6,,,
Equador,South/Central America & Carribean,2004,20.34,,,
Equador,South/Central America & Carribean,2005,20.145,,,
Equador,South/Central America & Carribean,2006,20.015,,,
Equador,South/Central America & Carribean,2007,19.77,,,
Equador,South/Central America & Carribean,2008,19.475,,,
Equador,South/Central America & Carribean,2009,20.025,,,
Equador,South/Central America & Carribean,2010,19.99,,,
Equador,South/Central America & Carribean,2011,19.805,,,
Equador,South/Central America & Carribean,2012,19.965,,,
Equador,South/Central America & Carribean,2013,20.635,,,
Equador,South/Central America & Carribean,2014,21.174999999999997,,,
Equador,South/Central America & Carribean,2015,26.95,,,
Equador,South/Central America & Carribean,2016,26.54,,,
Equador,South/Central America & Carribean,2017,25.98,,,
Equador,South/Central America & Carribean,2018,25.55,,,
Equador,South/Central America & Carribean,2019,25.94,,,
Ethiopia,Africa,1995,16.83,2.57,0.03,23.15
Ethiopia,Africa,1996,16.48,2.87,0.04,24.51
Ethiopia,Africa,1997,17.15,3.06,0.06,25.13
Ethiopia,Africa,1998,16.89,3.23,0.07,27.44
Ethiopia,Africa,1999,17.02,3.18,0.09,27.37
Ethiopia,Africa,2000,16.97,3.56,0.1,26.14
Ethiopia,Africa,2001,17.73,4.4,0.11,27.06
Ethiopia,Africa,2002,18.98,4.57,0.12,30.71
Ethiopia,Africa,2003,17.86,5.02,0.13,29.57
Ethiopia,Africa,2004,17.47,5.33,0.13,30.58
Ethiopia,Africa,2005,17.88,5.05,0.14,32.06
Ethiopia,Africa,2006,17.71,5.4,0.17,33.71
Ethiopia,Africa,2007,16.99,6.07,0.19,37.39
Ethiopia,Africa,2008,17.3,6.88,0.22,38.57
Ethiopia,Africa,2009,17.08,6.93,0.24,40.39
Ethiopia,Africa,2010,16.35,6.47,0.27,42.32
Ethiopia,Africa,2011,17.11,7.54,0.32,42.14
Ethiopia,Africa,2012,16.94,8.46,0.37,44.6
Ethiopia,Africa,2013,17.21,10.28,0.41,45.71
Ethiopia,Africa,2014,17.57,12.33,0.46,47.71
Ethiopia,Africa,2015,17.83,12.88,0.51,49.19
Ethiopia,Africa,2016,17.28,14.95,0.57,50.87
Ethiopia,Africa,2017,16.92,15.46,0.62,51.88
Ethiopia,Africa,2018,16.73,16.28,0.68,52.16
Ethiopia,Africa,2019,17.29,,,
Finland,Europe,1995,5.69,56.09,0.17,5.96
Finland,Europe,1996,4.47,62.57,0.25,5.97
Finland,Europe,1997,5.6,60.62,0.35,6.0
Finland,Europe,1998,5.14,57.27,0.45,5.84
Finland,Europe,1999,6.27,56.51,0.55,5.84
Finland,Europe,2000,6.96,55.1,0.71,5.88
Finland,Europe,2001,5.56,61.09,0.77,5.8
Finland,Europe,2002,5.74,63.44,0.85,5.98
Finland,Europe,2003,5.22,71.71,0.92,5.98
Finland,Europe,2004,5.39,67.68,1.01,6.12
Finland,Europe,2005,5.94,55.46,1.1,6.33
Finland,Europe,2006,6.22,67.02,1.17,5.98
Finland,Europe,2007,6.43,65.1,1.23,6.17
Finland,Europe,2008,7.01,56.66,1.35,6.49
Finland,Europe,2009,5.58,54.18,1.39,5.37
Finland,Europe,2010,4.51,62.53,1.41,5.03
Finland,Europe,2011,6.78,55.12,1.42,4.57
Finland,Europe,2012,5.28,49.41,1.46,4.58
Finland,Europe,2013,6.47,50.19,1.47,4.65
Finland,Europe,2014,6.72,46.16,1.47,4.7
Finland,Europe,2015,7.18,42.82,1.45,4.68
Finland,Europe,2016,6.06,45.71,1.43,4.65
Finland,Europe,2017,6.01,43.01,1.33,4.65
Finland,Europe,2018,6.67,44.36,1.23,4.67
Finland,Europe,2019,6.6,,,
France,Europe,1995,13.555,352.28,5.9,61.81
France,Europe,1996,12.4,367.96,7.18,64.46
France,Europe,1997,13.82,359.14,8.12,64.02
France,Europe,1998,13.035,381.18,9.08,57.05
France,Europe,1999,13.385,375.0,10.7,51.49
France,Europe,2000,13.2,373.24,10.72,49.25
France,Europe,2001,12.895,376.86,11.24,50.15
France,Europe,2002,13.205,371.17,13.81,47.83
France,Europe,2003,13.55,376.84,14.58,47.75
France,Europe,2004,12.74,377.95,15.01,45.28
France,Europe,2005,12.815000000000001,380.82,15.31,43.99
France,Europe,2006,13.280000000000001,371.6,16.07,43.15
France,Europe,2007,12.850000000000001,362.91,16.78,44.03
France,Europe,2008,12.53,358.21,17.3,42.1
France,Europe,2009,12.91,343.88,17.16,39.66
France,Europe,2010,11.89,347.94,18.23,38.62
France,Europe,2011,13.71,333.53,19.32,36.66
France,Europe,2012,12.67,336.33,19.64,37.24
France,Europe,2013,12.34,336.63,19.59,38.31
France,Europe,2014,13.045,304.53,19.45,38.3
France,Europe,2015,13.155,310.52,19.66,38.91
France,Europe,2016,12.774999999999999,312.71,19.83,37.55
France,Europe,2017,13.120000000000001,316.36,18.42,38.47
France,Europe,2018,13.295,309.96,17.01,38.03
France,Europe,2019,13.455,,,
Gabon,Africa,1995,26.43,4.61,0.04,1.04
Gabon,Africa,1996,25.92,4.72,0.08,0.85
Gabon,Africa,1997,26.96,4.83,0.11,0.72
Gabon,Africa,1998,26.96,4.93,0.14,0.58
Gabon,Africa,1999,26.55,4.82,0.17,0.44
Gabon,Africa,2000,26.25,4.67,0.2,0.29
Gabon,Africa,2001,26.27,4.58,0.21,0.29
Gabon,Africa,2002,26.52,4.33,0.22,0.32
Gabon,Africa,2003,26.59,4.39,0.23,0.34
Gabon,Africa,2004,26.58,4.43,0.24,0.39
Gabon,Africa,2005,26.46,4.63,0.26,0.36
Gabon,Africa,2006,26.48,4.04,0.3,0.4
Gabon,Africa,2007,26.8,4.05,0.35,0.39
Gabon,Africa,2008,26.62,4.13,0.4,0.44
Gabon,Africa,2009,26.62,4.2,0.45,0.37
Gabon,Africa,2010,26.74,4.77,0.49,0.39
Gabon,Africa,2011,26.3,5.64,0.59,0.43
Gabon,Africa,2012,25.74,5.83,0.68,0.43
Gabon,Africa,2013,26.46,5.7,0.78,0.45
Gabon,Africa,2014,26.55,5.5,0.87,0.4
Gabon,Africa,2015,26.65,5.48,0.97,0.43
Gabon,Africa,2016,27.21,5.71,1.08,0.44
Gabon,Africa,2017,26.87,4.7,1.19,0.49
Gabon,Africa,2018,26.79,4.61,1.3,0.43
Gabon,Africa,2019,26.97,,,
Gambia,Africa,1995,25.52,0.22,0.0,0.31
Gambia,Africa,1996,25.55,0.22,0.2,0.32
Gambia,Africa,1997,26.53,0.23,0.4,0.31
Gambia,Africa,1998,26.56,0.25,0.6,0.33
Gambia,Africa,1999,25.84,0.26,0.8,0.31
Gambia,Africa,2000,26.05,0.24,1.0,0.33
Gambia,Africa,2001,26.57,0.31,0.8,0.3
Gambia,Africa,2002,26.14,0.3,0.61,0.29
Gambia,Africa,2003,26.48,0.3,0.41,0.33
Gambia,Africa,2004,26.35,0.32,0.22,0.35
Gambia,Africa,2005,26.73,0.34,0.02,0.36
Gambia,Africa,2006,26.09,0.36,0.03,0.39
Gambia,Africa,2007,26.42,0.4,0.03,0.39
Gambia,Africa,2010,26.62,0.44,0.04,0.42
Gambia,Africa,2011,25.97,0.45,0.05,0.39
Gambia,Africa,2012,26.11,0.46,0.06,0.35
Gambia,Africa,2013,26.06,0.44,0.07,0.37
Gambia,Africa,2014,26.0,0.52,0.08,0.38
Gambia,Africa,2015,25.77,0.53,0.09,0.39
Gambia,Africa,2016,26.03,0.53,0.1,0.39
Gambia,Africa,2017,26.28,0.54,0.11,0.39
Gambia,Africa,2018,25.47,0.57,0.12,0.4
Gambia,Africa,2019,25.98,,,
Georgia,Europe,1995,13.92,8.18,0.03,1.29
Georgia,Europe,1996,13.11,6.36,0.04,1.39
Georgia,Europe,1997,13.06,5.52,0.04,1.49
Georgia,Europe,1998,14.54,4.99,0.05,1.55
Georgia,Europe,1999,14.0,4.52,0.06,1.69
Georgia,Europe,2000,13.99,4.77,0.07,1.77
Georgia,Europe,2001,13.95,3.52,0.07,1.56
Georgia,Europe,2002,13.49,2.96,0.08,1.56
Georgia,Europe,2003,13.25,3.16,0.09,1.53
Georgia,Europe,2004,13.71,3.37,0.1,1.68
Georgia,Europe,2005,13.98,4.24,0.1,1.85
Georgia,Europe,2006,6.24,4.7,0.11,1.8
Germany,Europe,1995,10.837499999999999,873.09,7.82,62.92
Germany,Europe,1996,8.8375,902.75,8.26,64.01
Germany,Europe,1997,9.5225,870.9,8.31,61.41
Germany,Europe,1998,10.625,863.14,8.85,48.49
Germany,Europe,1999,10.85,833.35,8.37,44.96
Germany,Europe,2000,11.39,830.08,8.4,43.24
Germany,Europe,2001,9.537500000000001,847.5,9.77,44.94
Germany,Europe,2002,10.395,833.18,10.41,44.47
Germany,Europe,2003,7.6,836.55,10.62,44.22
Germany,Europe,2004,10.666666666666666,820.83,11.18,45.57
Germany,Europe,2005,10.44,802.17,11.27,43.62
Germany,Europe,2006,8.323333333333332,814.16,11.33,41.99
Germany,Europe,2007,10.655,783.6,11.4,45.81
Germany,Europe,2008,10.57,789.55,11.08,43.66
Germany,Europe,2009,10.245000000000001,734.66,11.19,43.88
Germany,Europe,2010,8.690000000000001,772.92,11.47,36.99
Germany,Europe,2011,10.25,746.38,11.82,35.65
Germany,Europe,2012,9.21,760.02,11.89,35.54
Germany,Europe,2013,8.62,777.63,11.87,36.12
Germany,Europe,2014,10.06,737.49,11.99,37.02
Germany,Europe,2015,9.96,742.31,12.1,36.24
Germany,Europe,2016,9.5,747.15,11.9,35.6
Germany,Europe,2017,9.33,732.2,11.09,34.58
Germany,Europe,2018,10.81,709.54,10.28,32.9
Germany,Europe,2019,10.33,,,
Greece,Europe,1995,18.3,82.84,4.22,6.82
Greece,Europe,1996,18.08,82.76,4.88,7.12
Greece,Europe,1997,17.74,83.76,5.29,6.85
Greece,Europe,1998,18.61,87.13,5.92,6.7
Greece,Europe,1999,19.29,87.4,6.82,6.72
Greece,Europe,2000,18.78,94.46,5.37,6.64
Greece,Europe,2001,18.97,96.61,4.85,6.39
Greece,Europe,2002,18.44,96.6,5.16,6.45
Greece,Europe,2003,18.29,100.22,4.8,6.49
Greece,Europe,2004,18.14,99.85,4.99,6.09
Greece,Europe,2005,17.93,101.95,5.14,5.95
Greece,Europe,2006,17.87,100.7,4.96,5.67
Greece,Europe,2007,18.76,104.31,4.95,5.47
Greece,Europe,2008,18.83,100.41,4.88,5.66
Greece,Europe,2009,18.75,94.74,4.56,5.07
Greece,Europe,2010,19.52,87.58,4.46,5.42
Greece,Europe,2011,19.01,84.55,4.74,5.95
Greece,Europe,2012,15.65,80.09,5.16,4.99
Guatemala,South/Central America & Carribean,1995,19.15,6.35,0.02,2.98
Guatemala,South/Central America & Carribean,1996,19.21,6.19,0.03,2.96
Guatemala,South/Central America & Carribean,1997,19.74,6.55,0.04,3.04
Guatemala,South/Central America & Carribean,1998,19.94,8.29,0.05,3.01
